table,project,sponsors,link
67,Pinscape,,http://hackupc2017w.devpost.com/submissions/68831-pinscape
79,Vibes,"EVERIS Challenge: Help people with AI, #HackHarassment, Best hack by Bloomberg",http://hackupc2017w.devpost.com/submissions/68832-vibes
98,EducApp,"EVERIS Challenge: Help people with AI, Scalingo Challenge: The coolest Hack Hosted on Scalingo, Best hack by Bloomberg",http://hackupc2017w.devpost.com/submissions/68833-educapp
6,RescueMe,Between Challenge:  SmartLocation to save lives,http://hackupc2017w.devpost.com/submissions/68834-rescueme
70,Twin NP Pong,FIB API Challenge,http://hackupc2017w.devpost.com/submissions/68835-twin-np-pong
34,Lazying fun,ShapeWays Challenge: Best 3D printing hack,http://hackupc2017w.devpost.com/submissions/68836-lazying-fun
11,Lightspeed Study,"EVERIS Challenge: Help people with AI, Best .tech domain, Best hack by Bloomberg, Amazon Web Services - Best Use of AWS",http://hackupc2017w.devpost.com/submissions/68837-lightspeed-study
37,MISPLACED,,http://hackupc2017w.devpost.com/submissions/68838-misplaced
12,Air-Piano,,http://hackupc2017w.devpost.com/submissions/68839-air-piano
83,besafe-app,Between Challenge:  SmartLocation to save lives,http://hackupc2017w.devpost.com/submissions/68840-besafe-app
99,Cortiris,EVERIS Challenge: Help people with AI,http://hackupc2017w.devpost.com/submissions/68841-cortiris
97,Dubzooka,,http://hackupc2017w.devpost.com/submissions/68842-dubzooka
80,aimalaif,Between Challenge:  SmartLocation to save lives,http://hackupc2017w.devpost.com/submissions/68843-aimalaif
87,EventLift,,http://hackupc2017w.devpost.com/submissions/68844-eventlift
31,SmartFood,,http://hackupc2017w.devpost.com/submissions/68845-smartfood
55,projectNSA,,http://hackupc2017w.devpost.com/submissions/68846-projectnsa
89,On the Street,,http://hackupc2017w.devpost.com/submissions/68847-on-the-street
50,Awhere,"Between Challenge:  SmartLocation to save lives, Scalingo Challenge: The coolest Hack Hosted on Scalingo, Best hack by Bloomberg",http://hackupc2017w.devpost.com/submissions/68848-awhere
66,Alife,Between Challenge:  SmartLocation to save lives,http://hackupc2017w.devpost.com/submissions/68849-alife
94,Runner,,http://hackupc2017w.devpost.com/submissions/68850-runner
52,Orus: An easy and fast way to keep you updated,"EVERIS Challenge: Help people with AI, Best hack by Bloomberg",http://hackupc2017w.devpost.com/submissions/68851-orus-an-easy-and-fast-way-to-keep-you-updated
90,Time Travelers,,http://hackupc2017w.devpost.com/submissions/68852-time-travelers
9,Harambot,"EVERIS Challenge: Help people with AI, #HackHarassment, Scalingo Challenge: The coolest Hack Hosted on Scalingo",http://hackupc2017w.devpost.com/submissions/68853-harambot
17,TeamHack,Scalingo Challenge: The coolest Hack Hosted on Scalingo,http://hackupc2017w.devpost.com/submissions/68854-teamhack
29,FiY - Find it Yourself,"Scalingo Challenge: The coolest Hack Hosted on Scalingo, Best hack by Bloomberg",http://hackupc2017w.devpost.com/submissions/68855-fiy-find-it-yourself
54,Room condition sensors that help to sleep better,"Best Domain Name from Domain.com, Scalingo Challenge: The coolest Hack Hosted on Scalingo",http://hackupc2017w.devpost.com/submissions/68856-room-condition-sensors-that-help-to-sleep-better
8,Cookitapp(v1.0),,http://hackupc2017w.devpost.com/submissions/68857-cookitapp-v1-0
49,rePebble,,http://hackupc2017w.devpost.com/submissions/68858-repebble
77,FeelShare,,http://hackupc2017w.devpost.com/submissions/68859-feelshare
35,Pear,"Scalingo Challenge: The coolest Hack Hosted on Scalingo, Best hack by Bloomberg",http://hackupc2017w.devpost.com/submissions/68860-pear
86,BioScan,,http://hackupc2017w.devpost.com/submissions/68861-bioscan
40,Tagit,,http://hackupc2017w.devpost.com/submissions/68862-tagit
59,EnterwaveMe,"Scalingo Challenge: The coolest Hack Hosted on Scalingo, Best hack by Bloomberg",http://hackupc2017w.devpost.com/submissions/68863-enterwaveme
14,DEMM - Dynamic Emergency Management Mapping,"EVERIS Challenge: Help people with AI, Esri Challenge: Improve Blablarcar search algorithm, Between Challenge:  SmartLocation to save lives, Scalingo Challenge: The coolest Hack Hosted on Scalingo, Best hack by Bloomberg",http://hackupc2017w.devpost.com/submissions/68864-demm-dynamic-emergency-management-mapping
42,RGBArchitect,"EVERIS Challenge: Help people with AI, Best hack by Bloomberg",http://hackupc2017w.devpost.com/submissions/68865-rgbarchitect
46,Smart Eco Shower,,http://hackupc2017w.devpost.com/submissions/68866-smart-eco-shower
18,emergencymap.tech,Between Challenge:  SmartLocation to save lives,http://hackupc2017w.devpost.com/submissions/68867-emergencymap-tech
81,uCode Cluster,Between Challenge:  SmartLocation to save lives,http://hackupc2017w.devpost.com/submissions/68868-ucode-cluster
57,TaskBot,"EVERIS Challenge: Help people with AI, Best .tech domain",http://hackupc2017w.devpost.com/submissions/68869-taskbot
92,BIENE,"#HackHarassment, Best .tech domain, Amazon Web Services - Best Use of AWS",http://hackupc2017w.devpost.com/submissions/68870-biene
16,Accidentally Safe,"EVERIS Challenge: Help people with AI, Esri Challenge: Improve Blablarcar search algorithm, FIB API Challenge, Best .tech domain, Between Challenge:  SmartLocation to save lives, Scalingo Challenge: The coolest Hack Hosted on Scalingo, Best hack by Bloomberg, Amazon Web Services - Best Use of AWS",http://hackupc2017w.devpost.com/submissions/68871-accidentally-safe
22,Good=win,"EVERIS Challenge: Help people with AI, Esri Challenge: Improve Blablarcar search algorithm, #HackHarassment, Scalingo Challenge: The coolest Hack Hosted on Scalingo, Best hack by Bloomberg",http://hackupc2017w.devpost.com/submissions/68872-good-win
56,TeamBuilder,"FIB API Challenge, #HackHarassment",http://hackupc2017w.devpost.com/submissions/68873-teambuilder
38,Hooman,Signaturit Challenge: Best use of Signaturit API,http://hackupc2017w.devpost.com/submissions/68874-hooman
64,BLAWORM,,http://hackupc2017w.devpost.com/submissions/68875-blaworm
23,Code Dungeon,"Best .tech domain, Best hack by Bloomberg",http://hackupc2017w.devpost.com/submissions/68876-code-dungeon
47,hackupc-image_classifier,,http://hackupc2017w.devpost.com/submissions/68877-hackupc-image_classifier
78,Refugees_rescue,Signaturit Challenge: Best use of Signaturit API,http://hackupc2017w.devpost.com/submissions/69149-refugees_rescue
1,SchedulerBot,,http://hackupc2017w.devpost.com/submissions/69150-schedulerbot
7,SafeWhistle,"Between Challenge:  SmartLocation to save lives, Scalingo Challenge: The coolest Hack Hosted on Scalingo, Best hack by Bloomberg",http://hackupc2017w.devpost.com/submissions/69151-safewhistle
3,Smart Charger,Amazon Web Services - Best Use of AWS,http://hackupc2017w.devpost.com/submissions/69155-smart-charger
